d,title,intro,poster,pubdate,url,rating,press,star,comment,tags,star_time,author
1152931959,盗墓笔记,没事干想想把这个东西再看一遍，当初懵懵懂懂，而且一部一部看的不连续，好多细节现在看看细思极恐，希望能把之前的一些谜点解开！,https://img9.doubanio.com/view/subject/l/public/s4442295.jpg,2007-1,https://book.douban.com/subject/1948901/,8.3,中国友谊出版公司,4.0,没事干想想把这个东西再看一遍，当初懵懵懂懂，而且一部一部看的不连续，好多细节现在看看细思极恐，希望能把之前的一些谜点解开！,,2017-02-16 11:41:47,
1152445729,檀香刑,一杆火枪杀忠良，割地输金做儿臣。忍弃中原众黎民，千年功业一朝尽。求和辱，覆巢恨，可怜那些子弟为谁亡？       原本想铁骨铮铮，哪料到行影踽踽。与这世道两相看，却期我沉沉冤狱。天时尽，何时停，天下哪还有岳家军？,https://img3.doubanio.com/view/subject/l/public/s6159293.jpg,2010-4-1,https://book.douban.com/subject/4778452/,8.4,长江文艺出版社,4.0,一杆火枪杀忠良，割地输金做儿臣。忍弃中原众黎民，千年功业一朝尽。求和辱，覆巢恨，可怜那些子弟为谁亡？       原本想铁骨铮铮，哪料到行影踽踽。与这世道两相看，却期我沉沉冤狱。天时尽，何时停，天下哪还有岳家军？,,2017-02-15 10:59:35,
1132377657,没有色彩的多崎作和他的巡礼之年,,https://img1.doubanio.com/view/subject/l/public/s27094300.jpg,2013-10-1,https://book.douban.com/subject/25733470/,8.3,南海出版公司,4.0,,,2017-01-05 13:51:09,
903962836,月亮和六便士,,https://img1.doubanio.com/view/subject/l/public/s2659208.jpg,2006-8,https://book.douban.com/subject/1858513/,9.0,上海译文出版社,4.5,,,2016-12-14 13:16:19,
1087502435,超禁忌游戏Ⅱ,,https://img3.doubanio.com/view/subject/l/public/s28066337.jpg,2015-5,https://book.douban.com/subject/26348618/,6.8,九州出版社,3.5,,,2016-09-21 00:52:43,
1087502411,超禁忌游戏Ⅰ,,https://img1.doubanio.com/view/subject/l/public/s27986568.jpg,2014-12,https://book.douban.com/subject/26261238/,7.0,九州出版社,3.5,,,2016-09-21 00:52:37,
1087502211,无人生还,,https://img9.doubanio.com/view/subject/l/public/s26849345.jpg,2013-7,https://book.douban.com/subject/24859822/,8.7,新星出版社,4.5,,,2016-09-21 00:51:45,
1087502121,未来边缘,,https://img1.doubanio.com/view/subject/l/public/s28074548.jpg,2015-2-15,https://book.douban.com/subject/26392016/,7.9,山西书海传媒科技有限责任公司,4.0,,,2016-09-21 00:51:24,
1087501973,我不是潘金莲,,https://img1.doubanio.com/view/subject/l/public/s11168459.jpg,2012-8,https://book.douban.com/subject/6742586/,7.8,长江文艺出版社,4.0,,,2016-09-21 00:50:49,
1081182291,蒋勋破解达芬奇之美,滑天下之大稽！,https://img9.doubanio.com/view/subject/l/public/s27985465.jpg,2015-1,https://book.douban.com/subject/26287475/,6.3,北京联合出版公司,3.0,滑天下之大稽！,,2016-09-04 19:02:57,
1051892886,米,"究竟是人的恶，还是环境的恶
",https://img3.doubanio.com/view/subject/l/public/s24420197.jpg,2000-1-1,https://book.douban.com/subject/1006737/,7.8,台海出版社,4.0,"究竟是人的恶，还是环境的恶
",,2016-06-14 16:30:19,
1040898936,蝙蝠,,https://img1.doubanio.com/view/subject/l/public/s4706410.jpg,2011-2,https://book.douban.com/subject/5990434/,8.4,万卷出版公司,4.0,,,2016-05-12 20:44:32,
