d,title,intro,poster,pubdate,url,rating,press,star,comment,tags,star_time,author
2626627315,看见,正因为看见所以彷徨,https://img1.doubanio.com/view/subject/l/public/s24514758.jpg,2013-1-1,https://book.douban.com/subject/20427187/,8.8,广西师范大学出版社,4.5,正因为看见所以彷徨,,2020-12-02 23:21:31,
2626626586,朝花夕拾,日子平静的让人心醉,https://img1.doubanio.com/view/subject/l/public/s34099290.jpg,1973-4,https://book.douban.com/subject/1449352/,9.1,人民文学出版社,4.5,日子平静的让人心醉,,2020-12-02 23:21:03,
2626624998,白鹿原,,https://img3.doubanio.com/view/subject/l/public/s34777382.jpg,2012-9,https://book.douban.com/subject/10564071/,9.3,人民文学出版社,4.5,,,2020-12-02 23:20:05,
2626623377,肖申克的救赎,能救赎的是自己的内心,https://img9.doubanio.com/view/subject/l/public/s4007145.jpg,2006-7,https://book.douban.com/subject/1829226/,9.1,人民文学出版社,4.5,能救赎的是自己的内心,,2020-12-02 23:19:04,
2626622388,安徒生童话故事集,童话告诉我们活在童话里也不是一件幸福的事,https://img3.doubanio.com/view/subject/l/public/s1034062.jpg,1997-08,https://book.douban.com/subject/1046209/,9.3,人民文学出版社,4.5,童话告诉我们活在童话里也不是一件幸福的事,,2020-12-02 23:18:26,
2626621507,天龙八部,少年想做侠客，却不知侠客羡慕少年,https://img9.doubanio.com/view/subject/l/public/s26018275.jpg,1994-5,https://book.douban.com/subject/1255625/,9.2,生活·读书·新知三联书店,4.5,少年想做侠客，却不知侠客羡慕少年,,2020-12-02 23:17:53,
2626612482,呐喊,尽管声嘶力竭，却没有激起一片水花,https://img9.doubanio.com/view/subject/l/public/s34099286.jpg,1973-3,https://book.douban.com/subject/1449351/,9.2,人民文学出版社,4.5,尽管声嘶力竭，却没有激起一片水花,,2020-12-02 23:12:19,
2626608805,平凡的世界（全三部）,因为平凡所以真实,https://img2.doubanio.com/view/subject/l/public/s1144911.jpg,2005-1,https://book.douban.com/subject/1200840/,9.0,人民文学出版社,4.5,因为平凡所以真实,,2020-12-02 23:10:11,
2563654679,搜神记Ⅰ-神农使者,,https://img9.doubanio.com/view/subject/l/public/s1433216.jpg,2005-05,https://book.douban.com/subject/1400048/,8.5,辽宁教育出版社,4.5,,,2020-10-12 16:13:04,
2522568278,盐,,https://img9.doubanio.com/view/subject/l/public/s29509085.jpg,2017-8,https://book.douban.com/subject/27104259/,7.2,北京联合出版公司,3.5,,,2020-09-07 10:11:49,
2438347507,鬼滅之刃 6,,https://img3.doubanio.com/view/subject/l/public/s33462102.jpg,2019-5-8,https://book.douban.com/subject/27105443/,8.6,東立出版社,4.5,,,2020-07-01 12:24:18,
2438347395,鬼滅之刃 5,,https://img2.doubanio.com/view/subject/l/public/s32311371.jpg,2019-4-11,https://book.douban.com/subject/27105442/,8.5,東立出版社,4.5,,,2020-07-01 12:24:12,
2438347241,鬼滅之刃 4,,https://img2.doubanio.com/view/subject/l/public/s30026191.jpg,2019-3-7,https://book.douban.com/subject/27105441/,8.4,東立出版社,4.0,,,2020-07-01 12:24:04,
2438347074,鬼滅之刃 3,,https://img9.doubanio.com/view/subject/l/public/s29840025.jpg,2018-8-27,https://book.douban.com/subject/27105439/,8.5,東立出版社,4.5,,,2020-07-01 12:23:54,
2438346962,鬼滅之刃 2,,https://img3.doubanio.com/view/subject/l/public/s29823282.jpg,2018-7-26,https://book.douban.com/subject/27105438/,8.3,東立出版社,4.0,,,2020-07-01 12:23:47,
2438346652,鬼滅之刃 1,,https://img3.doubanio.com/view/subject/l/public/s29647213.jpg,2018-1-8,https://book.douban.com/subject/27105437/,8.0,東立出版社,4.0,,,2020-07-01 12:23:30,
2310596579,撒哈拉的故事,,https://img3.doubanio.com/view/subject/l/public/s1369343.jpg,2003-8,https://book.douban.com/subject/1060068/,9.2,哈尔滨出版社,4.5,,,2020-03-27 16:10:47,
