d,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
2223468021,半个喜剧,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2576482356.jpg,2019-12-20(中国大陆),https://movie.douban.com/subject/30269016/,7.3,"喜剧,爱情",3.5,,,2020-02-21 02:05:19,2019 / 中国大陆 / 喜剧 爱情 / 周申 刘露 / 任素汐 吴昱翰
2174872331,传染病,最后一幕有点惊悚,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1213203384.jpg,2011-09-03(威尼斯电影节),https://movie.douban.com/subject/4301043/,7.1,"剧情,科幻,惊悚",3.5,最后一幕有点惊悚,,2020-02-04 22:58:43,2011 / 美国 阿联酋 / 剧情 科幻 惊悚 灾难 / 史蒂文·索德伯格 / 玛丽昂·歌迪亚 马特·达蒙
2172418624,未知电视剧,时间短算一星吧...,https://qnmob3.doubanio.com/f/frodo/568eb8fac54d39fe599b0de8c3f2aee1dbc43cf0/pics/subject/tv_large.jpg?imageView2/2/q/80/w/600/h/3000/format/jpg,,https://movie.douban.com/subject/34928016/,0,,0.0,时间短算一星吧...,,2020-02-04 00:05:14,
2149712710,囧妈,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2581835383.jpg,2020-01-25(中国大陆网络),https://movie.douban.com/subject/30306570/,5.9,喜剧,3.0,,,2020-01-25 18:33:04,2020 / 中国大陆 / 喜剧 / 徐峥 / 徐峥 黄梅莹
2142999593,受益人,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2572429001.jpg,2019-11-08(中国大陆),https://movie.douban.com/subject/30299311/,6.5,"剧情,喜剧,爱情",3.5,,,2020-01-19 23:07:34,2019 / 中国大陆 / 剧情 喜剧 爱情 / 申奥 / 大鹏 柳岩
2132037408,怪兽电力公司,皮克斯大王,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2513247938.jpg,2001-11-02(美国),https://movie.douban.com/subject/1291579/,8.8,"喜剧,动画,儿童",4.5,皮克斯大王,,2020-01-12 13:07:30,2001 / 美国 / 喜剧 动画 儿童 奇幻 冒险 / 彼特·道格特 大卫·西尔弗曼 李·昂克里奇 / 约翰·古德曼 比利·克里斯托
2132035142,无敌破坏王2：大闹互联网,高走低开，前半段互联网构思惊人，后半段有点落入俗套，没有收住。总体而言，很棒的一部，值得观看，喜爱公主联盟^.^,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2523931173.jpg,2018-11-23(中国大陆),https://movie.douban.com/subject/20438964/,8.0,"喜剧,动画,奇幻",4.0,高走低开，前半段互联网构思惊人，后半段有点落入俗套，没有收住。总体而言，很棒的一部，值得观看，喜爱公主联盟^.^,,2020-01-12 13:05:50,2018 / 美国 / 喜剧 动画 奇幻 冒险 / 菲尔·约翰斯顿 瑞奇·摩尔 / 约翰·C·赖利 萨拉·西尔弗曼
2127863536,银翼杀手2049,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2501864539.jpg,2017-10-27(中国大陆),https://movie.douban.com/subject/10512661/,8.3,"剧情,动作,科幻",4.0,,,2020-01-09 20:03:59,2017 / 美国 英国 加拿大 西班牙 / 剧情 动作 科幻 悬疑 惊悚 / 丹尼斯·维伦纽瓦 / 瑞恩·高斯林 哈里森·福特
2127862705,黑客帝国,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p451926968.jpg,2000-01-14(中国大陆),https://movie.douban.com/subject/1291843/,9.1,"动作,科幻",4.5,,,2020-01-09 20:03:27,1999 / 美国 / 动作 科幻 / 莉莉·沃卓斯基 拉娜·沃卓斯基 / 基努·里维斯 劳伦斯·菲什伯恩
2127860670,调音师,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2551995207.jpg,2019-04-03(中国大陆),https://movie.douban.com/subject/30334073/,8.2,"喜剧,悬疑,惊悚",4.0,,,2020-01-09 20:02:08,2018 / 印度 / 喜剧 悬疑 惊悚 犯罪 / 斯里兰姆·拉格万 / 阿尤斯曼·库拉纳 塔布
2127859469,波西米亚狂想曲,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2549558913.jpg,2019-03-22(中国大陆),https://movie.douban.com/subject/5300054/,8.6,"剧情,同性,音乐",4.5,,,2020-01-09 20:01:24,2018 / 英国 美国 / 剧情 同性 音乐 传记 / 布莱恩·辛格 / 拉米·马雷克 本·哈迪
2127859096,寄生虫,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2561439800.jpg,2019-05-21(戛纳电影节),https://movie.douban.com/subject/27010768/,8.8,剧情,4.5,,,2020-01-09 20:01:11,2019 / 韩国 / 剧情 / 奉俊昊 / 宋康昊 李善均
2127858562,少年的你,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2572166063.jpg,2019-10-25(中国大陆),https://movie.douban.com/subject/30166972/,8.2,"剧情,爱情,犯罪",4.0,,,2020-01-09 20:00:50,2019 / 中国大陆 中国香港 / 剧情 爱情 犯罪 / 曾国祥 / 周冬雨 易烊千玺
2127857650,哪吒之魔童降世,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2563780504.jpg,2019-07-26(中国大陆),https://movie.douban.com/subject/26794435/,8.4,"剧情,喜剧,动画",4.0,,,2020-01-09 20:00:19,2019 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 饺子 / 吕艳婷 囧森瑟夫
2127844296,误杀,“2号去听经，然后住旅店，3号去餐厅，然后看电影”“爷爷，奶油面包好好吃啊”,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2614628862.jpg,2019-12-13(中国大陆),https://movie.douban.com/subject/30176393/,7.5,"剧情,悬疑,犯罪",4.0,“2号去听经，然后住旅店，3号去餐厅，然后看电影”“爷爷，奶油面包好好吃啊”,,2020-01-09 19:51:41,2019 / 中国大陆 / 剧情 悬疑 犯罪 / 柯汶利 / 肖央 谭卓
2122107453,隐藏人物,知识改变命运,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2374067318.jpg,2016-12-25(美国),https://movie.douban.com/subject/26615208/,8.9,"剧情,传记,历史",4.5,知识改变命运,,2020-01-05 22:36:39,2016 / 美国 / 剧情 传记 历史 / 西奥多·梅尔菲 / 塔拉吉·P·汉森 奥克塔维亚·斯宾瑟
2118269441,罗小黑战记,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2496903956.jpg,2011-03-18(中国大陆),https://movie.douban.com/subject/10477598/,9.5,"剧情,喜剧,动作",5.0,,,2020-01-03 22:32:25,2011 / 中国大陆 / 剧情 喜剧 动作 动画 奇幻 / 木头 / 山新 皇贞季
2118268806,超级小白,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2548079039.jpg,2019-10-14(日本),https://movie.douban.com/subject/30337839/,7.6,"动画,家庭",4.0,,,2020-01-03 22:32:08,2019 / 日本 / 动画 家庭 / 汤浅政明 霜山朋久 / 真柴摩利 野上尤加奈
2118267776,动物狂想曲 第一季,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2562089872.jpg,2019-10-10(日本),https://movie.douban.com/subject/30458442/,9.0,"剧情,动画,悬疑",4.5,,,2020-01-03 22:31:43,2019 / 日本 / 剧情 动画 悬疑 奇幻 / 松见真一 / 小林亲弘 千本木彩花
2109298120,超脱,孤生,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1305562621.jpg,2011-04-25(翠贝卡电影节),https://movie.douban.com/subject/5322596/,9.0,剧情,4.5,孤生,,2019-12-29 20:58:55,2011 / 美国 / 剧情 / 托尼·凯耶 / 阿德里安·布罗迪 马西娅·盖伊·哈登
1997642082,鬼灭之刃,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2551222097.jpg,2019-04-06(日本),https://movie.douban.com/subject/30210221/,9.1,"动画,奇幻",4.5,,,2019-10-13 18:12:39,2019 / 日本 / 动画 奇幻 / 外崎春雄 细川秀树 间岛崇宽 伊藤祐毅 野中卓也 五味伸介 宫原秀二 高桥贤 / 花江夏树 鬼头明里
1997640067,他人即地狱,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2567028069.jpg,2019-08-31(韩国),https://movie.douban.com/subject/30442494/,8.4,"悬疑,惊悚,犯罪",4.0,,,2019-10-13 18:11:08,2019 / 韩国 / 悬疑 惊悚 犯罪 / 李昌熙 / 任时完 李栋旭
1983644584,中国机长,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2568258113.jpg,2019-09-30(中国大陆),https://movie.douban.com/subject/30295905/,6.6,"剧情,传记,灾难",3.5,,,2019-10-04 22:51:15,2019 / 中国大陆 / 剧情 传记 灾难 / 刘伟强 / 张涵予 欧豪
1944591304,罗小黑战记,我还能撑到第二部剧场版吗,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2568288336.jpg,2019-09-07(中国大陆),https://movie.douban.com/subject/26709258/,8.0,"动作,动画,奇幻",4.0,我还能撑到第二部剧场版吗,,2019-09-08 17:13:10,2019 / 中国大陆 / 动作 动画 奇幻 / 木头 / 山新 郝祥海
